County,District code,District name,LA Classification,Middle SOA code,Middle SOA name,Morphology & Context combined name (MSOA),Lower SOA code,Lower SOA name,Combined Morphology & Context (LSOA),COA code,Combined Morphology & Context (COA),Ward code,Ward name,Combined Morphology & Context (ward)
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025098,Lancaster 001D,Town and Fringe - Less Sparse,30UHGK0004,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025098,Lancaster 001D,Town and Fringe - Less Sparse,30UHGK0014,Town and Fringe - Less Sparse,30UHGK,Carnforth,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0001,Village - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0002,Hamlet & Isolated Dwellings - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0003,Village - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0004,Village - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0005,Town and Fringe - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0006,Town and Fringe - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0007,Hamlet & Isolated Dwellings - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025148,Lancaster 001E,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHC0008,Village - Less Sparse,30UHHC,Silverdale,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025168,Lancaster 001F,Town and Fringe - Less Sparse,30UHHK0002,Village - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025168,Lancaster 001F,Town and Fringe - Less Sparse,30UHHK0004,Town and Fringe - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025168,Lancaster 001F,Town and Fringe - Less Sparse,30UHHK0005,Town and Fringe - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025168,Lancaster 001F,Town and Fringe - Less Sparse,30UHHK0006,Hamlet & Isolated Dwellings - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025169,Lancaster 001G,Town and Fringe - Less Sparse,30UHHK0001,Village - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025169,Lancaster 001G,Town and Fringe - Less Sparse,30UHHK0003,Hamlet & Isolated Dwellings - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025169,Lancaster 001G,Town and Fringe - Less Sparse,30UHHK0007,Town and Fringe - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005221,Lancaster 001,Town and Fringe - Less Sparse,E01025169,Lancaster 001G,Town and Fringe - Less Sparse,30UHHK0008,Town and Fringe - Less Sparse,30UHHK,Warton,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0001,Village - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0002,Hamlet & Isolated Dwellings - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0003,Village - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0004,Village - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0005,Hamlet & Isolated Dwellings - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0006,Village - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0007,Village - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025130,Lancaster 002A,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGW0008,Village - Less Sparse,30UHGW,Kellet,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025132,Lancaster 002B,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGX0002,Hamlet & Isolated Dwellings - Less Sparse,30UHGX,Lower Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025132,Lancaster 002B,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGX0010,Hamlet & Isolated Dwellings - Less Sparse,30UHGX,Lower Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025132,Lancaster 002B,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGX0013,Hamlet & Isolated Dwellings - Sparse,30UHGX,Lower Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025132,Lancaster 002B,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGX0014,Village - Less Sparse,30UHGX,Lower Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025132,Lancaster 002B,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHGX0015,Village - Less Sparse,30UHGX,Lower Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025166,Lancaster 002C,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0002,Village - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025166,Lancaster 002C,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0003,Village - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025166,Lancaster 002C,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0004,Village - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025166,Lancaster 002C,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0005,Village - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025166,Lancaster 002C,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0007,Village - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025167,Lancaster 002D,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0001,Hamlet & Isolated Dwellings - Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025167,Lancaster 002D,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0006,Hamlet & Isolated Dwellings - Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025167,Lancaster 002D,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0008,Hamlet & Isolated Dwellings - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025167,Lancaster 002D,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0009,Village - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005222,Lancaster 002,"Village, Hamlet & Isolated Dwellings - Less Sparse",E01025167,Lancaster 002D,"Village, Hamlet & Isolated Dwellings - Less Sparse",30UHHJ0010,Village - Less Sparse,30UHHJ,Upper Lune Valley,"Village, Hamlet & Isolated Dwellings - Less Sparse"
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025089,Lancaster 003A,Town and Fringe - Less Sparse,30UHGH0002,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025089,Lancaster 003A,Town and Fringe - Less Sparse,30UHGH0003,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025089,Lancaster 003A,Town and Fringe - Less Sparse,30UHGH0004,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025089,Lancaster 003A,Town and Fringe - Less Sparse,30UHGH0005,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025089,Lancaster 003A,Town and Fringe - Less Sparse,30UHGH0006,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025090,Lancaster 003B,Town and Fringe - Less Sparse,30UHGH0001,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025090,Lancaster 003B,Town and Fringe - Less Sparse,30UHGH0007,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025090,Lancaster 003B,Town and Fringe - Less Sparse,30UHGH0008,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025090,Lancaster 003B,Town and Fringe - Less Sparse,30UHGH0009,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025090,Lancaster 003B,Town and Fringe - Less Sparse,30UHGH0010,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025090,Lancaster 003B,Town and Fringe - Less Sparse,30UHGH0011,Town and Fringe - Less Sparse,30UHGH,Bolton-le-Sands,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025158,Lancaster 003C,Town and Fringe - Less Sparse,30UHHF0007,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025158,Lancaster 003C,Town and Fringe - Less Sparse,30UHHF0009,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025158,Lancaster 003C,Town and Fringe - Less Sparse,30UHHF0010,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025158,Lancaster 003C,Town and Fringe - Less Sparse,30UHHF0012,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025158,Lancaster 003C,Town and Fringe - Less Sparse,30UHHF0014,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025159,Lancaster 003D,Town and Fringe - Less Sparse,30UHHF0005,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025159,Lancaster 003D,Town and Fringe - Less Sparse,30UHHF0008,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025159,Lancaster 003D,Town and Fringe - Less Sparse,30UHHF0011,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025159,Lancaster 003D,Town and Fringe - Less Sparse,30UHHF0013,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025159,Lancaster 003D,Town and Fringe - Less Sparse,30UHHF0015,Hamlet & Isolated Dwellings - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025160,Lancaster 003E,Town and Fringe - Less Sparse,30UHHF0001,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025160,Lancaster 003E,Town and Fringe - Less Sparse,30UHHF0002,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025160,Lancaster 003E,Town and Fringe - Less Sparse,30UHHF0003,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025160,Lancaster 003E,Town and Fringe - Less Sparse,30UHHF0004,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005223,Lancaster 003,Town and Fringe - Less Sparse,E01025160,Lancaster 003E,Town and Fringe - Less Sparse,30UHHF0006,Town and Fringe - Less Sparse,30UHHF,Slyne-with-Hest,Town and Fringe - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025085,Lancaster 004A,Urban > 10K - Less Sparse,30UHGG0001,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025085,Lancaster 004A,Urban > 10K - Less Sparse,30UHGG0002,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025085,Lancaster 004A,Urban > 10K - Less Sparse,30UHGG0010,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025085,Lancaster 004A,Urban > 10K - Less Sparse,30UHGG0013,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025085,Lancaster 004A,Urban > 10K - Less Sparse,30UHGG0014,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025086,Lancaster 004B,Urban > 10K - Less Sparse,30UHGG0004,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025086,Lancaster 004B,Urban > 10K - Less Sparse,30UHGG0005,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025086,Lancaster 004B,Urban > 10K - Less Sparse,30UHGG0006,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025086,Lancaster 004B,Urban > 10K - Less Sparse,30UHGG0008,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025086,Lancaster 004B,Urban > 10K - Less Sparse,30UHGG0015,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025087,Lancaster 004C,Urban > 10K - Less Sparse,30UHGG0003,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025087,Lancaster 004C,Urban > 10K - Less Sparse,30UHGG0007,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
Lancashire,30UH,Lancaster,Significant Rural,E02005224,Lancaster 004,Urban > 10K - Less Sparse,E01025087,Lancaster 004C,Urban > 10K - Less Sparse,30UHGG0009,Urban >10K - Less Sparse,30UHGG,Bare,Urban > 10k - Less Sparse
